question,opt_1,opt_2,opt_3,opt_4,correct_answer,explanation
Which planet is known as the Red Planet?,Earth,Venus,Jupiter,Mars,Mars,"Mars is known as the Red Planet because of its distinctive reddish appearance, which comes from iron oxide—commonly known as rust—on its surface. This gives the planet its dusty red hue, easily visible even from Earth with a telescope"
What is the name of the largest moon in our solar system?,Enceladus,Ganymede,Iro,Moon,Ganymede,"Ganymede, a moon of Jupiter, is the largest moon in the solar system. It’s even bigger than the planet Mercury, with a diameter of about 5,268 kilometers (3,273 miles). Ganymede has a magnetic field, icy surface, and a subsurface ocean that scientists believe might contain more water than all of Earth’s oceans combined."
What type of celestial body is the Sun?,Star,Planet,Black Hole,Galaxy,Star,"The Sun is a star, specifically a G-type main-sequence star (also called a yellow dwarf). Like other stars, it produces energy through nuclear fusion in its core, converting hydrogen into helium. This process releases the light and heat that supports life on Earth."
Which galaxy contains our solar system?,Ursa Major,Snickers,Andromeda,Milky Way,Milky Way,"The Milky Way is the spiral galaxy that contains our solar system. It’s a vast system of stars, gas, dust, and dark matter stretching about 100,000 light-years across. Our Sun is located in one of its outer arms, called the Orion Arm."
What is the name of the first artificial satellite?,Sputnik 2,Sputnik 1,Hubble,ISS,Sputnik 1,"Sputnik 1 was the first artificial satellite launched into space. It was launched by the Soviet Union on October 4, 1957, marking the beginning of the space age and the start of the U.S.–Soviet space race. The satellite transmitted radio pulses and orbited Earth for three weeks before its batteries died."
What is the name of the largest planet in our solar system?,Saturn,Jupiter,Pluto,Venus,Jupiter,"Jupiter is the largest planet in our solar system by far. It's a gas giant with a diameter of about 143,000 kilometers (89,000 miles) and more than 300 times the mass of Earth. It has at least 95 moons, including the four large Galilean moons, and is famous for its Great Red Spot, a giant storm system larger than Earth."
What is the name of the smallest planet in our solar system?,Venus,Earth,Pluto,Mercury,Mercury,"Mercury is the smallest of the eight recognized planets in our solar system. It's only about 4,880 kilometers (3,032 miles) in diameter—slightly larger than Earth’s Moon. Despite its small size, Mercury is incredibly dense and orbits the Sun faster than any other planet, completing a full orbit in just 88 Earth days."
How many planets are in our solar system?,7,8,10,9,8,"There are eight planets in our solar system, listed in order from the Sun: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune. Pluto was once considered the ninth planet but was reclassified as a dwarf planet by the International Astronomical Union (IAU) in 2006 due to its size and orbital characteristics."
"What is the name of the celestial object that has a bright,  glowing tail?",Comet,Asteroid,Meteor,Meteorite,Comet,"A comet is a small Solar System body made mostly of ice, dust, and rocky particles. When a comet approaches the Sun, the heat causes its ices to vaporize, releasing gas and dust. This forms a glowing coma around the nucleus and a visible tail that always points away from the Sun due to the solar wind and radiation pressure. The tail can stretch millions of kilometers across space and is what makes comets so visually striking in the night sky."
What is the name of the phenomenon where the Earth orbits the Sun?,Revolution,Evolution,Rotate,Gravity,Revolution,"Revolution refers to the orbital movement of the Earth around the Sun. It takes approximately 365.25 days to complete one full revolution, which defines the length of a year. This motion, combined with Earth's axial tilt, is responsible for the changing seasons throughout the year."
What is the name of the phenomenon where the Earth rotates on its axis?,Atmosphere,Gravity,Axel,Rotation,Rotation,"Rotation is the spinning of the Earth around its own axis. This motion takes approximately 24 hours to complete and causes the cycle of day and night. Unlike revolution, which is the Earth’s orbit around the Sun, rotation is what makes the Sun appear to rise and set each day."
What is the name of the force that pulls objects towards each other?,Mass,Force,Energy,Gravity,Gravity,"Gravity is a fundamental force of nature that causes every object with mass to attract every other object with mass. This force keeps planets in orbit around the Sun, causes objects to fall to the ground on Earth, and governs the large-scale structure of the universe."
What is used as a measure of distance in space?,Light-years,Newton,Joule,Watt,Light-year,"A light-year is the distance that light travels in one year through a vacuum — about 5.88 trillion miles (9.46 trillion kilometers). It is commonly used by astronomers to express distances between stars, galaxies, and other celestial objects because of the vast scales involved."
What is the name of the space probe that has traveled farthest from the Sun?,Voyager 2,Voyager 1,New Horizons,Cassini,Voyager 1,"Voyager 1 is the farthest human-made object from the Sun, launched in 1977. It has traveled beyond the heliosphere—the bubble of charged particles and magnetic fields created by the Sun—and entered interstellar space. Voyager 1 continues to send data back to Earth, providing valuable information about this distant region."
What is the name of the telescope that orbits the Earth and takes pictures of space?,Hubble Space Telescope,James Webb Space Telescope,Kepler Space Telescope,Spitzer Space Telescope,Hubble Space Telescope,"The Hubble Space Telescope is a powerful observatory launched into low Earth orbit in 1990. It takes detailed images of distant stars, galaxies, and other celestial objects without the distortion caused by Earth’s atmosphere. Its observations have revolutionized astronomy, helping scientists better understand the universe’s age, expansion, and structure."
What is the name of the celestial object that is a giant cloud of gas and dust?,Planetary Ring,Black Hole,Asteroid,Nebula,Nebula,"A nebula is a massive cloud of gas and dust in space, often acting as a nursery for new stars. Nebulae come in various types, including emission, reflection, and dark nebulae, each with unique properties. These vast clouds can span light-years across and are the building blocks of galaxies."
What is Pluto classified as?,Planet,Asteroid,Exoplanet,Dwarf Planet,Dwarf Planet,The International Astronomical Union (IAU) demoted Pluto to dwarf planet status in 2006 after setting forth several criteria for planethood that it does not meet. This change remains controversial.
How many orbits has the Hubble Space Telescope made?,"191,756 times","102,253 times","230,459 times","198,956 times","191,756 times","As of its 35th anniversary, on April 24, 2025, Hubble will have circled our world approximately 191,756 times. It takes about 95 minutes to complete a single orbit."
How much larger is Earth than the Moon?,3.5 times larger,2.66 times larger,3.66 times larger,2.5 times larger,3.66 times larger,"Our planet’s diameter is 3.66 times as large as the Moon’s. In other words, the Moon’s diameter is 27.3 percent of Earth’s. However, if we were to compare their volumes, Earth’s is 50 times larger than the Moon’s, so the Moon’s volume is just 2 percent that of Earth."
How many constellations do the moon and planets pass through?,23,24,25,27,24,"In addition to the 12 zodiacal constellations, the Moon can appear in front of stars in Auriga, Cetus, Corvus, Ophiuchus, Orion, and Sextans. And in addition to those 18, the planets can appear in six more: Canis Minor, Crater, Hydra, Pegasus, Scutum, and Serpens, with a total of 24."
